"Key","Section","Where it appears","Original copy","Alison edit"
"info.refresh.t2","Query Type 2 · B. Data Refresh Frequency","(ⓘ) tooltip on title","We recommend Monthly or Weekly Data Refresh for Topical Queries. Both save money yet are adequate for studying big categorical changes. Brands studying category trends are typically studying the bigger picture as opposed to what happened yesterday or even last week. <br><br>If you choose <strong>Monthly Refresh, </strong>we'll pull data on the 2nd of every month, re-augment the searches based on new content that's appeared since the last query, and send you back the month's videos by the 5th. Anytime your clients visit your platform from the 6th through the last day of the month, they'll be looking at data that's fresh through the end of the prior month. For brands studying big picture category shifts and looking for new trends, Monthly Refresh is perfectly acceptable. We've discounted it to deal with the high cost of Contextual Topic Queries. <br><br>If you choose <strong>Weekly Data Refresh</strong> you will save money, but your users will face a data hole that's miniscule on Mondays and awkwardly large on Sundays. We pull weekly data on Sunday nights, collecting the prior week's Monday to Sunday activity. If a user visits on a Monday, the data is completely current - the entire past week is available to them. The user who logs in on a Thursday will notice this week's Monday to Wednesday data is missing. The user who logs in on Sunday will face an entire week of missing data. Generally speaking, the weeklong data gap has no impact on brands studying Topics. <br><br>If you choose <strong>Daily Data Refresh</strong>, your users will always have new data through yesterday, no matter when they visit your platform. New data includes any new Videos or Comments that appeared yesterday, as well as fresh metric counts (like new views) on older evergreen videos. Daily Refresh is best for Brand Queries, where monitoring new product rollouts, tracking organic pickup of time-sensitive campaigns like Super Bowl, monitoring media pickup of PR initiatives, tracking Crisis PR situations and closely monitoring consumer complaints is the need. Daily Refresh would be overkill for most Topical Searches.","We recommend Monthly or Weekly Data Refresh for Topical Queries. Both save money yet are adequate for studying big categorical changes. Brands studying category trends are typically studying the bigger picture as opposed to what happened yesterday or even last week. <br><br><strong>Monthly Refresh:&nbsp; </strong>We pull data on the 2nd of every month, re-augment the searches based on new content that's appeared since the last query, and send you back the month's videos by the 5th. Any time your clients visit your platform from the 6th through the last day of the month, their data is fresh through the end of the prior month. For brands studying big picture category shifts and trends, Monthly Refresh is perfectly acceptable. We've discounted it to deal with the high cost of Contextual Topic Queries. <br><br><strong>Weekly Data Refresh:</strong>&nbsp;We pull weekly data on Sunday nights, collecting the prior week's Monday to Sunday activity. If a user visits on a Monday, the data is completely current - the entire past week is available to them. The user who logs in on Sunday will face an entire week of missing data. Generally speaking, the week-long data gap is less-than-ideal for brand queries but acceptable for topical queries.<br><br><strong>Daily Data Refresh:&nbsp;</strong>&nbsp;Your users will always have new data through yesterday, no matter when they visit your platform. This is not typically important for topical searches."
"info.depth-titles.t2","Query Type 2 · C. Search Depth","(ⓘ) tooltip on Titles only","<strong>Titles Only:</strong> Topical Queries perform very well with this least expensive option. Titles Only may miss a few vloggers who are so dedicated to the Topic that they start short-handing their video titles. Think about the skincare vlogger who has people following her acne recovery journey. At first she always uses the right keywords in her titles - Acne, Skincare, etc. After awhile, she starts titling videos to ""How I Looked on Monday."" However, on these contextual queries, we minimize the risk of missing these videos by adding in Subject Matter Expert channels. Using this Skincare example, we've identified more than 5000 channels that are dedicated to skincare. When appropriate, we make those channels an OR in the query. That's why Titles Only is perfectly adequate for Topical Queries.","<strong>Titles Only:</strong> Topical Queries perform very well with this least expensive option. Titles Only may miss a few vloggers who are so dedicated to the Topic that they start short-handing their video titles, skipping keywords. However, on these Topical Contextual Queries, we minimize the risk of missing these videos by adding in Subject Matter Expert channels.&nbsp; We have more than 10,000 Subject Matter Expert Channels for each Level 4 Topic in our taxonomy.&nbsp; That's why Titles Only is perfectly adequate for Topical Queries."
"info.depth-ttd.t2","Query Type 2 · C. Search Depth","(ⓘ) tooltip on Titles + Tags + Descriptions","<strong>Titles + Tags + Descriptions:</strong> This option looks deeper than Video Titles, catching about 10% more relevant videos. But here's why it's not necessary. Titles Only will catch 80 to 90% of Topical videos. A statistically valid sample size for identifying category trends would be 250-channels. Most topics will contain more than 10,000 Subject Matter expert channels. The sample size is overwhelmingly valid for accurately studying a Topic or Category.","<strong>Titles + Tags + Descriptions:</strong> This option looks deeper than Video Titles, catching about 10% more relevant videos. But for Topical Queries, it's not necessary to pay the premium to add Tags &amp; Descriptions.&nbsp; Titles Only will catch 80 to 90% of Topical videos. A statistically valid sample size for identifying category trends would be 250-channels. Most topics will contain more than 10,000 Subject Matter expert channels. The sample size achieved in Titles Only is overwhelmingly valid for accurately studying a Topic or Category."
"cardF.sub.t2","Query Type 2 · F. Query Management","Subtext","Placeholder Copy","Topical Queries must use our Contextual Query Option"
"info.query.t2","Query Type 2 · F. Query Management","(ⓘ) tooltip on title","<strong>Adjusted Queries: </strong> We perform basic changes to dramatically improve search results. Programmatically, as the query comes in, we change apostrophes and quotations to our universal format, and we remove punctuation (except apostrophes) and hashtags. Manually, we combine terms that aren't combined and we split terms that are combined. For example, if the query says ""Glassskin"" we add ""Glass Skin,"" catching significantly more videos. Where OR strings are connected by the wrong operator, we fix it. We add all the possessives and plurals. If the user has submitted more than one brand in the query we remove the second brand and submit a second query for your approval. If there are obvious, easy things we can to do improve the catch or discard the noise in the few minutes allowed, we do it. <div><br><strong>Contextual Queries</strong> are 100% Accurate and Complete, and we guarantee it. It's the Mercedes of Social Listening. If you can afford this option, Contextual is the way to go. Your clients will immediately notice your mastery of Video Social Listening. To achieve perfection, we combine our big data engineering with People Power - the same people who've classified every YouTube brand video into hundreds of thousands of topical homes. Our people aren't guessing at terms. They're looking at the entire database of videos that responds to the query. They can see - and are aided by AI to see - the thousands of Boolean operators needed to NOT OUT the NOISE and CATCH all the SIGNAL. <br><br>Some platforms have expressed nervousness around this, concerned we might make judgment calls the brand wouldn't agree with. Things are surprisingly black and white. Incoming queries very clearly state the brands' intentions. The problem is that users never achieve their stated intention. There are never enough NOTs, ANDs and ORs to get the job done. We expand terms and channels to find every video matching the brand's criteria. We take out all the Noise. Example: Orange Telecom submits ""Orange AND Phone."" A video entitled ""Get your newest phone at the local Orange store"" is Signal. A kids' cartoon with the knock knock joke, ""Orange you glad I didn't call you on the phone?"" is Noise. The lines are easy to draw, but to get good results, someone needs to draw them. Without the actual database of content to work with, that's impossible to do. <br><br>Our Contextual Queries contain 1,000 to 10,000 operators per query and produce 5–50× more results than Adjusted Queries. Contextual queries are the only way to go for generic-name brands like <em>Orange Telecom, Dodge Cars, Specialized Bicycles, Columbia Sportswear, Liberty Financial</em>. Contextual Queries are perfected by Day 30, but they're also never done. New content reveals new combinations of words that beg for more NOTs, ANDs and ORs. </div><div><br></div><div>At a $2mm spending level, our Contextual Queries become your property so you can use them to improve results on TikTok, Reels and elsewhere. </div>","Due to the outcome of multiple tests,&nbsp;<strong>Contextual Queries</strong> are the only option for Topical (Unbranded) Queries.&nbsp; On our Topical tests, simple Adjustments weren't enough to produce good-enough results:&nbsp; each query was extracting more than 100mm videos from our database, the vast majority of which was noise.&nbsp; The queries need to be rewritten, augmented and limited to protect our database as well as our reputation for quality.&nbsp; At a $2mm spending level, our Contextual Queries become your property so you can use them to improve results on TikTok, Reels and elsewhere."
"info.qt-contextual.t2","Query Type 2 · F. Query Management","(ⓘ) tooltip on Contextual","Produces 5 to 50 times the number of results with a 100% Signal, 0% Noise guarantee.","DELETE COMPLETELY"
"info.em-include.t2","Query Type 2 · F. Query Management","(ⓘ) tooltip on Owned Media exclusion","<strong>Exclude Earned Media.</strong> Exclude any and all videos published by the brand itself across all of the brand's YouTube channels regardless of geography.<br><br>This is a filter, not a query change.","<strong>Exclude Earned Media.</strong> Exclude any and all videos published by the brand itself across all of the brand's YouTube channels."
"info.inc-gaming.t2","Query Type 2 · F. Query Management","(ⓘ) tooltip on Gaming exclusion","<strong>Exclude Gaming.</strong> The Video Gaming, Popular Music and Kids' Media Topics produce more than half of all Social Listening Noise. No matter the query, it's highly likely a gamer, a cartoon, a song or a band uses those words. If you're opting for Contextual Queries, we take care of the noise whether or not you check these boxes. <br><br>But if you're saving money by using Adjusted Searches, it's wise to check the Gaming box. <br>","<b>delete</b><div><b><br></b></div>"
"cardF.exclusions.gaming.t2","Query Type 2 · F. Query Management","Exclusion checkbox","Gaming","delete option<div><br></div>"
"cardF.exclusions.music.t2","Query Type 2 · F. Query Management","Exclusion checkbox","Music","delete option<div><br></div>"
